Encoding	Decoding
580.0006	403.0004
526.0005	5362.0054
525.0005	448.0004
527.0005	284.0003
526.0005	3324.0033
529.0005	5436.0054
528.0005	5446.0054
526.0005	287.0003
526.0005	279.0003
528.0005	5425.0054
525.0005	5407.0054
524.0005	5411.0054
525.0005	5404.0054
524.0005	5429.0054
526.0005	3014.0030
528.0005	455.0005
525.0005	280.0003
529.0005	5450.0054
617.0006	5482.0055
526.0005	5463.0055
526.0005	5436.0054
526.0005	286.0003
526.0005	280.0003
528.0005	3895.0039
526.0005	283.0003
528.0005	279.0003
526.0005	3026.0030
527.0005	426.0004
526.0005	273.0003
527.0005	5418.0054
531.0005	5487.0055
526.0005	292.0003
526.0005	280.0003
527.0005	3863.0039
526.0005	284.0003
526.0005	280.0003
527.0005	5404.0054
525.0005	323.0003
622.0006	300.0003
525.0005	1557.0016
523.0005	5461.0055
528.0005	3056.0031
526.0005	404.0004
526.0005	281.0003
526.0005	5430.0054
620.0006	5433.0054
527.0005	5395.0054
526.0005	5470.0055
527.0005	288.0003
526.0005	282.0003
526.0005	5459.0055
525.0005	5426.0054
524.0005	384.0004
525.0005	279.0003
526.0005	2998.0030
528.0005	5380.0054
528.0005	5403.0054
526.0005	323.0003
527.0005	290.0003
525.0005	284.0003
530.0005	5414.0054
630.0006	5440.0054
526.0005	5479.0055
526.0005	5449.0054
526.0005	5412.0054
528.0005	280.0003
524.0005	284.0003
527.0005	3010.0030
526.0005	280.0003
525.0005	284.0003
526.0005	5425.0054
527.0005	5399.0054
529.0005	437.0004
527.0005	284.0003
525.0005	5477.0055
624.0006	5416.0054
526.0005	5418.0054
525.0005	5428.0054
525.0005	3843.0038
525.0005	280.0003
527.0005	5448.0054
526.0005	5446.0054
527.0005	5436.0054
616.0006	5468.0055
526.0005	5521.0055
527.0005	285.0003
525.0005	280.0003
526.0005	5442.0054
525.0005	323.0003
623.0006	298.0003
527.0005	2412.0024
526.0005	5450.0054
624.0006	5443.0054
526.0005	5816.0058
527.0005	4699.0047
526.0005	432.0004
523.0005	282.0003
525.0005	3029.0030
