Encoding	Decoding
881.0009	189.0002
818.0008	141.0001
823.0008	138.0001
801.0008	224.0002
802.0008	229.0002
798.0008	226.0002
800.0008	225.0002
800.0008	225.0002
799.0008	228.0002
801.0008	227.0002
801.0008	225.0002
799.0008	226.0002
802.0008	252.0003
802.0008	229.0002
800.0008	250.0002
816.0008	137.0001
812.0008	137.0001
810.0008	138.0001
815.0008	217.0002
811.0008	137.0001
811.0008	137.0001
800.0008	227.0002
809.0008	212.0002
810.0008	137.0001
857.0009	138.0001
798.0008	232.0002
798.0008	228.0002
809.0008	207.0002
817.0008	137.0001
809.0008	138.0001
799.0008	232.0002
801.0008	233.0002
799.0008	250.0002
797.0008	228.0002
805.0008	239.0002
816.0008	208.0002
812.0008	138.0001
811.0008	138.0001
814.0008	138.0001
816.0008	138.0001
809.0008	138.0001
886.0009	215.0002
814.0008	138.0001
810.0008	139.0001
810.0008	137.0001
818.0008	137.0001
799.0008	224.0002
806.0008	247.0002
799.0008	246.0002
803.0008	228.0002
800.0008	226.0002
800.0008	230.0002
801.0008	228.0002
800.0008	226.0002
799.0008	138.0001
860.0009	183.0002
812.0008	138.0001
816.0008	138.0001
809.0008	138.0001
813.0008	138.0001
805.0008	137.0001
799.0008	224.0002
800.0008	227.0002
810.0008	138.0001
815.0008	208.0002
812.0008	138.0001
811.0008	138.0001
811.0008	138.0001
815.0008	138.0001
811.0008	138.0001
810.0008	138.0001
813.0008	220.0002
813.0008	186.0002
811.0008	138.0001
817.0008	138.0001
-999184.9992	140.0001
814.0008	138.0001
813.0008	137.0001
799.0008	227.0002
801.0008	222.0002
813.0008	217.0002
808.0008	138.0001
815.0008	137.0001
809.0008	138.0001
809.0008	138.0001
818.0008	137.0001
864.0009	139.0001
800.0008	228.0002
799.0008	139.0001
810.0008	138.0001
813.0008	138.0001
810.0008	138.0001
814.0008	138.0001
799.0008	228.0002
799.0008	228.0002
799.0008	246.0002
815.0008	181.0002
810.0008	138.0001
811.0008	137.0001
818.0008	138.0001
810.0008	137.0001
809.0008	138.0001
800.0008	230.0002
798.0008	143.0001
801.0008	244.0002
812.0008	206.0002
817.0008	137.0001
811.0008	138.0001
807.0008	138.0001
812.0008	137.0001
814.0008	137.0001
804.0008	225.0002
800.0008	222.0002
798.0008	234.0002
813.0008	138.0001
812.0008	136.0001
816.0008	137.0001
841.0008	139.0001
800.0008	141.0001
811.0008	138.0001
818.0008	137.0001
810.0008	138.0001
810.0008	224.0002
799.0008	228.0002
810.0008	206.0002
811.0008	200.0002
820.0008	137.0001
826.0008	138.0001
813.0008	138.0001
809.0008	138.0001
819.0008	137.0001
799.0008	138.0001
812.0008	167.0002
809.0008	138.0001
831.0008	137.0001
807.0008	138.0001
809.0008	137.0001
818.0008	137.0001
800.0008	226.0002
801.0008	229.0002
808.0008	138.0001
837.0008	232.0002
814.0008	317.0003
810.0008	227.0002
811.0008	138.0001
803.0008	227.0002
810.0008	138.0001
811.0008	241.0002
862.0009	189.0002
812.0008	138.0001
862.0009	138.0001
813.0008	139.0001
813.0008	138.0001
811.0008	138.0001
815.0008	137.0001
812.0008	138.0001
811.0008	138.0001
808.0008	139.0001
805.0008	228.0002
801.0008	229.0002
808.0008	138.0001
818.0008	187.0002
813.0008	186.0002
808.0008	138.0001
810.0008	137.0001
817.0008	137.0001
809.0008	138.0001
811.0008	138.0001
812.0008	197.0002
816.0008	167.0002
816.0008	138.0001
810.0008	138.0001
811.0008	138.0001
815.0008	138.0001
799.0008	228.0002
812.0008	138.0001
812.0008	208.0002
811.0008	138.0001
816.0008	138.0001
858.0009	138.0001
817.0008	138.0001
799.0008	138.0001
809.0008	213.0002
818.0008	138.0001
809.0008	138.0001
813.0008	137.0001
810.0008	138.0001
814.0008	138.0001
800.0008	233.0002
803.0008	228.0002
816.0008	194.0002
811.0008	178.0002
813.0008	138.0001
813.0008	137.0001
817.0008	137.0001
808.0008	138.0001
810.0008	192.0002
822.0008	174.0002
810.0008	139.0001
813.0008	139.0001
810.0008	139.0001
816.0008	139.0001
798.0008	228.0002
813.0008	168.0002
819.0008	137.0001
811.0008	138.0001
799.0008	228.0002
799.0008	231.0002
799.0008	230.0002
802.0008	226.0002
812.0008	137.0001
867.0009	137.0001
810.0008	138.0001
800.0008	226.0002
802.0008	222.0002
812.0008	139.0001
811.0008	137.0001
815.0008	138.0001
810.0008	137.0001
810.0008	137.0001
818.0008	204.0002
811.0008	205.0002
816.0008	194.0002
811.0008	137.0001
818.0008	137.0001
811.0008	138.0001
815.0008	138.0001
814.0008	138.0001
812.0008	137.0001
816.0008	137.0001
799.0008	229.0002
801.0008	225.0002
801.0008	229.0002
818.0008	182.0002
812.0008	137.0001
813.0008	138.0001
809.0008	138.0001
799.0008	228.0002
801.0008	137.0001
811.0008	138.0001
819.0008	138.0001
811.0008	137.0001
857.0009	138.0001
800.0008	228.0002
798.0008	229.0002
807.0008	137.0001
812.0008	137.0001
811.0008	136.0001
813.0008	138.0001
818.0008	139.0001
801.0008	227.0002
802.0008	225.0002
799.0008	226.0002
800.0008	222.0002
800.0008	231.0002
813.0008	181.0002
816.0008	138.0001
810.0008	137.0001
813.0008	138.0001
809.0008	136.0001
807.0008	187.0002
811.0008	137.0001
809.0008	137.0001
814.0008	137.0001
809.0008	137.0001
810.0008	137.0001
820.0008	136.0001
817.0008	137.0001
811.0008	137.0001
811.0008	137.0001
813.0008	138.0001
801.0008	248.0002
801.0008	245.0002
819.0008	224.0002
802.0008	230.0002
801.0008	225.0002
800.0008	228.0002
812.0008	228.0002
811.0008	212.0002
810.0008	137.0001
812.0008	137.0001
831.0008	136.0001
814.0008	138.0001
809.0008	137.0001
809.0008	137.0001
819.0008	172.0002
811.0008	138.0001
809.0008	137.0001
799.0008	223.0002
811.0008	237.0002
809.0008	187.0002
817.0008	137.0001
811.0008	137.0001
819.0008	137.0001
815.0008	181.0002
812.0008	137.0001
819.0008	137.0001
803.0008	137.0001
810.0008	137.0001
809.0008	138.0001
802.0008	224.0002
800.0008	226.0002
811.0008	137.0001
813.0008	138.0001
859.0009	138.0001
802.0008	138.0001
812.0008	138.0001
815.0008	138.0001
800.0008	138.0001
811.0008	137.0001
816.0008	137.0001
800.0008	138.0001
812.0008	137.0001
819.0008	137.0001
800.0008	138.0001
814.0008	137.0001
809.0008	138.0001
798.0008	232.0002
799.0008	221.0002
802.0008	225.0002
800.0008	231.0002
820.0008	167.0002
812.0008	137.0001
813.0008	137.0001
800.0008	137.0001
811.0008	137.0001
808.0008	137.0001
799.0008	229.0002
799.0008	225.0002
800.0008	229.0002
812.0008	138.0001
817.0008	137.0001
808.0008	137.0001
800.0008	237.0002
815.0008	180.0002
863.0009	138.0001
812.0008	137.0001
818.0008	137.0001
809.0008	223.0002
812.0008	188.0002
810.0008	177.0002
819.0008	138.0001
812.0008	138.0001
810.0008	137.0001
815.0008	137.0001
818.0008	138.0001
811.0008	137.0001
814.0008	179.0002
822.0008	136.0001
811.0008	138.0001
812.0008	137.0001
810.0008	137.0001
816.0008	137.0001
798.0008	223.0002
816.0008	137.0001
800.0008	223.0002
802.0008	226.0002
812.0008	137.0001
812.0008	137.0001
817.0008	137.0001
809.0008	137.0001
799.0008	225.0002
800.0008	226.0002
815.0008	175.0002
809.0008	137.0001
809.0008	137.0001
865.0009	138.0001
810.0008	138.0001
799.0008	226.0002
810.0008	137.0001
809.0008	220.0002
811.0008	138.0001
812.0008	137.0001
816.0008	138.0001
798.0008	231.0002
807.0008	226.0002
801.0008	245.0002
811.0008	173.0002
812.0008	137.0001
812.0008	136.0001
811.0008	137.0001
812.0008	137.0001
815.0008	137.0001
814.0008	137.0001
879.0009	137.0001
813.0008	138.0001
817.0008	137.0001
809.0008	137.0001
799.0008	228.0002
802.0008	227.0002
824.0008	137.0001
802.0008	231.0002
810.0008	138.0001
812.0008	191.0002
819.0008	137.0001
811.0008	137.0001
811.0008	137.0001
856.0009	137.0001
799.0008	223.0002
799.0008	228.0002
802.0008	225.0002
800.0008	226.0002
804.0008	229.0002
810.0008	137.0001
811.0008	200.0002
819.0008	138.0001
814.0008	138.0001
814.0008	138.0001
809.0008	137.0001
816.0008	138.0001
810.0008	216.0002
811.0008	198.0002
819.0008	138.0001
813.0008	138.0001
-999189.9992	137.0001
801.0008	232.0002
803.0008	460.0005
813.0008	139.0001
